Date,Daily_Mean_PM2.5_Concentration
1/1/2000,40.1
1/1/2000,42.4
1/1/2000,42.5
1/1/2000,42.4
1/1/2000,36.8
1/1/2000,39.8
1/1/2000,41.7
1/1/2000,41.2
1/1/2000,36.8
1/1/2000,37.1
1/2/2000,43.5
1/2/2000,41.3
1/3/2000,31.7
1/3/2000,30.8
1/4/2000,16.8
1/4/2000,13.5
1/4/2000,15.7
1/4/2000,11.8
1/4/2000,16.4
1/4/2000,18.2
1/4/2000,18.1
1/5/2000,7.8
1/6/2000,9.4
1/7/2000,18.2
1/7/2000,18.7
1/7/2000,21.9
1/7/2000,17.8
1/7/2000,14.3
1/7/2000,16.8
1/7/2000,23.1
1/7/2000,23
1/7/2000,24
1/7/2000,21.9
1/7/2000,22.8
1/8/2000,16
1/8/2000,18.2
1/9/2000,25
1/9/2000,27
1/10/2000,19
1/10/2000,13.6
1/10/2000,19.7
1/10/2000,18.5
1/10/2000,12.4
1/10/2000,19.4
1/10/2000,22.6
1/10/2000,22.3
1/10/2000,19.5
1/10/2000,19.2
1/11/2000,7.7
1/11/2000,9.7
1/12/2000,7.1
1/12/2000,11.4
1/13/2000,11.1
1/13/2000,9.5
1/13/2000,11.8
1/13/2000,10.8
1/13/2000,12.7
1/13/2000,12.5
1/13/2000,12.9
1/13/2000,12.8
1/13/2000,13.6
1/13/2000,13.5
1/14/2000,10.4
1/16/2000,12.5
1/16/2000,12.1
1/16/2000,10.5
1/16/2000,10
1/16/2000,13.3
1/16/2000,13.9
1/16/2000,14.4
1/16/2000,10.3
1/16/2000,10.2
1/16/2000,11.7
1/19/2000,39.3
1/19/2000,12.6
1/19/2000,17.3
1/19/2000,16.9
1/19/2000,14.3
1/19/2000,16.7
1/19/2000,16.2
1/19/2000,15.5
1/20/2000,21
1/21/2000,7.7
1/22/2000,7.9
1/22/2000,8.3
1/22/2000,8.7
1/22/2000,12.1
1/22/2000,8.5
1/22/2000,12
1/22/2000,11.5
1/22/2000,14.3
1/22/2000,14.4
1/22/2000,8.2
1/24/2000,34.6
1/24/2000,41.2
1/25/2000,18.3
1/25/2000,16
1/25/2000,20.2
1/25/2000,19.8
1/25/2000,20.6
1/25/2000,19.2
1/25/2000,19.4
1/25/2000,19
1/25/2000,22.3
1/25/2000,20.6
1/25/2000,19.4
1/26/2000,12.7
1/27/2000,8.1
1/28/2000,7.7
1/28/2000,7.4
1/28/2000,7.7
1/28/2000,14.5
1/29/2000,13.2
1/30/2000,34.3
1/31/2000,20.5
1/31/2000,19.4
1/31/2000,19
1/31/2000,23.6
1/31/2000,20.3
1/31/2000,28
1/31/2000,28.8
1/31/2000,24.6
1/31/2000,24.5
1/31/2000,20.8
2/1/2000,24.8
2/2/2000,6.5
2/9/2000,26.5
2/9/2000,26.8
2/9/2000,27.2
2/9/2000,24.7
2/9/2000,25.8
2/9/2000,25.5
2/9/2000,27.9
2/9/2000,30.5
2/9/2000,30.7
2/9/2000,29.6
2/9/2000,29.1
2/9/2000,25.8
2/10/2000,47.3
2/10/2000,48.2
2/11/2000,40.5
2/11/2000,43.8
2/12/2000,11.1
2/12/2000,8.8
2/12/2000,11.5
2/12/2000,11.7
2/12/2000,12.9
2/12/2000,16.1
2/12/2000,13.3
2/12/2000,12.5
2/12/2000,12.9
2/12/2000,14.4
2/12/2000,15
2/12/2000,10.6
2/13/2000,20.6
2/13/2000,14.1
2/14/2000,15.7
2/14/2000,17.5
2/15/2000,12.4
2/15/2000,9.9
2/15/2000,12.8
2/15/2000,11.9
2/15/2000,12.1
2/15/2000,17.2
2/15/2000,14.1
2/15/2000,15.3
2/15/2000,15.7
2/15/2000,14.1
2/15/2000,10.8
2/16/2000,24.2
2/16/2000,25.1
2/17/2000,8.4
2/17/2000,10.7
2/18/2000,14.2
2/18/2000,10.6
2/18/2000,15
2/18/2000,14.9
2/18/2000,13.6
2/18/2000,16.2
2/18/2000,15.6
2/18/2000,16.6
2/18/2000,15.7
2/18/2000,12.5
2/19/2000,17.8
2/20/2000,19.2
2/21/2000,16.8
2/21/2000,19.3
2/21/2000,14.2
2/21/2000,20.3
2/21/2000,21.4
2/21/2000,22.5
2/21/2000,20.8
2/21/2000,20
2/21/2000,18
2/22/2000,38.5
2/23/2000,31.5
2/24/2000,37.6
2/24/2000,34.1
2/24/2000,40
2/24/2000,39.7
2/24/2000,32.3
2/24/2000,37.2
2/24/2000,41.4
2/24/2000,43.2
2/24/2000,42.2
2/24/2000,41
2/24/2000,38.1
2/25/2000,26
2/25/2000,27.3
2/26/2000,11.8
2/26/2000,12.8
