Date,Daily_Mean_PM2.5_Concentration
1/1/2005,18.4
1/1/2005,18
1/1/2005,18.5
1/1/2005,15.6
1/1/2005,17.1
1/1/2005,18.6
1/1/2005,18.5
1/1/2005,21
1/1/2005,20
1/1/2005,17.5
1/1/2005,19.1
1/1/2005,15.9
1/1/2005,20
1/1/2005,16
1/2/2005,8.8
1/2/2005,6.2
1/3/2005,25.2
1/3/2005,22.5
1/4/2005,10.7
1/4/2005,8
1/4/2005,13.7
1/4/2005,10.7
1/4/2005,11.7
1/4/2005,13.4
1/4/2005,14
1/4/2005,12.5
1/4/2005,12.2
1/4/2005,14.9
1/4/2005,10.1
1/4/2005,14.5
1/4/2005,8.9
1/5/2005,11.7
1/5/2005,8.8
1/6/2005,11.8
1/6/2005,7.5
1/7/2005,11.2
1/7/2005,9.7
1/7/2005,10.7
1/7/2005,9.4
1/7/2005,10.5
1/7/2005,11.4
1/7/2005,11.5
1/7/2005,14.5
1/7/2005,14
1/7/2005,11.5
1/7/2005,11.9
1/7/2005,9.5
1/7/2005,13.3
1/7/2005,10.2
1/7/2005,11.1
1/8/2005,17.2
1/8/2005,13.2
1/9/2005,14.5
1/9/2005,12.6
1/10/2005,19.7
1/10/2005,16
1/10/2005,16.6
1/10/2005,16.1
1/10/2005,17.5
1/10/2005,16.4
1/10/2005,17.1
1/10/2005,20.6
1/10/2005,20.2
1/10/2005,17.5
1/10/2005,19.6
1/10/2005,16.6
1/10/2005,18.4
1/10/2005,14.7
1/10/2005,14.6
1/11/2005,13.7
1/11/2005,12.4
1/12/2005,11.1
1/12/2005,9.3
1/13/2005,25.1
1/13/2005,17.2
1/13/2005,19.2
1/13/2005,19.7
1/13/2005,21.8
1/13/2005,20.9
1/13/2005,26.4
1/13/2005,27.1
1/13/2005,25.7
1/13/2005,28.2
1/13/2005,23.4
1/13/2005,16.4
1/13/2005,13.1
1/14/2005,6.6
1/14/2005,5.4
1/15/2005,11
1/15/2005,7.8
1/16/2005,14.6
1/16/2005,10
1/16/2005,9.6
1/16/2005,11.6
1/16/2005,11
1/16/2005,11.8
1/16/2005,11
1/16/2005,13.3
1/16/2005,13.1
1/16/2005,10.9
1/16/2005,8
1/16/2005,9
1/17/2005,10.1
1/17/2005,8.4
1/18/2005,7.4
1/18/2005,6.1
1/19/2005,24.8
1/19/2005,17.2
1/19/2005,16.8
1/19/2005,19
1/19/2005,19
1/19/2005,21.3
1/19/2005,18.4
1/19/2005,22.4
1/19/2005,22
1/19/2005,16.5
1/19/2005,16.9
1/19/2005,18.4
1/19/2005,19.9
1/19/2005,14.1
1/19/2005,16.1
1/20/2005,15.8
1/20/2005,14.5
1/21/2005,8.1
1/21/2005,6.8
1/22/2005,20.8
1/22/2005,12.8
1/22/2005,15.8
1/22/2005,14
1/22/2005,13.6
1/22/2005,15.6
1/22/2005,14.9
1/22/2005,18.2
1/22/2005,17
1/22/2005,17.7
1/22/2005,17.9
1/22/2005,12.7
1/22/2005,12.2
1/23/2005,9
1/23/2005,6.3
1/24/2005,12
1/24/2005,12.2
1/25/2005,18
1/25/2005,15.2
1/25/2005,16.3
1/25/2005,16.3
1/25/2005,16.7
1/25/2005,17.5
1/25/2005,20.6
1/25/2005,20.1
1/25/2005,19.5
1/25/2005,19.7
1/25/2005,15.8
1/25/2005,19.4
1/25/2005,15.1
1/25/2005,16.6
1/26/2005,29.3
1/26/2005,22.3
1/27/2005,9.9
1/27/2005,8
1/28/2005,15.5
1/28/2005,11
1/28/2005,12
1/28/2005,15.1
1/28/2005,15.8
1/28/2005,16.8
1/28/2005,18.7
1/28/2005,16.8
1/28/2005,17.4
1/28/2005,14.9
1/28/2005,14.5
1/28/2005,13.2
1/28/2005,11.5
1/29/2005,24.9
1/29/2005,25.2
1/30/2005,22.2
1/30/2005,21.9
1/31/2005,19
1/31/2005,16.8
1/31/2005,17.3
1/31/2005,17
1/31/2005,18.1
1/31/2005,19.2
1/31/2005,21.8
1/31/2005,20.3
1/31/2005,20
1/31/2005,20.4
1/31/2005,20.6
1/31/2005,15.8
1/31/2005,13.9
2/1/2005,40.5
2/1/2005,35.1
2/2/2005,24.7
2/2/2005,23
2/3/2005,20.4
2/3/2005,14.3
2/3/2005,15.5
2/3/2005,16.7
2/3/2005,16.3
2/3/2005,18.2
2/3/2005,17.8
2/3/2005,21.8
2/3/2005,20.9
2/3/2005,19.2
2/3/2005,20.4
2/3/2005,15.4
2/3/2005,23.7
2/3/2005,14.7
2/3/2005,16.4
2/4/2005,14
2/4/2005,11.7
2/5/2005,15.3
2/5/2005,15.7
2/6/2005,23.1
2/6/2005,18.5
2/6/2005,19.2
2/6/2005,18.5
2/6/2005,18.9
2/6/2005,20.7
2/6/2005,19
2/6/2005,18.2
2/6/2005,19.5
2/6/2005,20.4
2/6/2005,17.1
2/6/2005,19.6
2/6/2005,16.4
2/7/2005,23
2/7/2005,22.5
2/8/2005,44.4
2/8/2005,27.1
2/9/2005,36.7
2/9/2005,30.1
2/9/2005,32.1
2/9/2005,34.9
2/9/2005,33.4
2/9/2005,36.3
2/9/2005,34.5
2/9/2005,34.5
2/9/2005,32.1
2/9/2005,32.7
2/9/2005,31.9
2/9/2005,29.6
2/9/2005,34.5
2/9/2005,33
2/9/2005,35.8
2/10/2005,15.8
2/10/2005,14.5
2/11/2005,4
2/11/2005,3.1
2/12/2005,18.7
2/12/2005,16.9
2/12/2005,16.4
2/12/2005,15.7
2/12/2005,16.8
2/12/2005,17
2/12/2005,17.4
2/12/2005,20.4
2/12/2005,19.7
2/12/2005,18.4
2/12/2005,19.6
2/12/2005,15.6
2/12/2005,21.8
2/12/2005,15.7
2/12/2005,14.8
2/13/2005,7.8
2/13/2005,6.6
2/14/2005,11.7
2/14/2005,7.7
2/15/2005,17
2/15/2005,12.4
2/15/2005,13.2
2/15/2005,12.9
2/15/2005,13.1
2/15/2005,14.2
2/15/2005,13.9
2/15/2005,15.5
2/15/2005,15.2
2/15/2005,13.2
2/15/2005,12.9
2/15/2005,12.3
2/15/2005,14.9
2/15/2005,11.7
2/15/2005,12.9
2/16/2005,19.7
2/16/2005,15.6
2/17/2005,9.9
2/17/2005,9.3
2/18/2005,7.8
2/18/2005,8
2/18/2005,6.9
2/18/2005,7.6
2/18/2005,7.8
2/18/2005,7.7
2/18/2005,11
2/18/2005,10.8
2/18/2005,8
2/18/2005,9.1
2/18/2005,7.8
2/18/2005,10
2/18/2005,6.2
2/18/2005,6.9
2/19/2005,10.5
2/19/2005,8.7
2/20/2005,15.3
2/20/2005,12.1
2/21/2005,16.1
2/21/2005,8.5
2/21/2005,10.7
2/21/2005,11.8
2/21/2005,12.4
2/21/2005,12
2/21/2005,14.5
2/21/2005,14.3
2/21/2005,14.7
2/21/2005,14.9
2/21/2005,10.7
2/21/2005,13
2/21/2005,8.2
2/22/2005,16.5
2/22/2005,15.9
2/23/2005,10.8
2/23/2005,9.6
2/24/2005,11.4
2/24/2005,6.3
2/24/2005,7.2
2/24/2005,7.5
2/24/2005,8.5
2/24/2005,8.9
2/24/2005,8.9
2/24/2005,11.6
2/24/2005,12
2/24/2005,11.3
2/24/2005,11.8
2/24/2005,8.6
2/24/2005,16.5
2/24/2005,6
2/24/2005,6.5
2/25/2005,12.1
2/25/2005,11.3
2/26/2005,21.8
