AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
4.3,7.8,2.8,1005.8,52,0.25,16.1,25.4,37,46.5,nan,nan,nan,5.112499999999999
4.3,9.4,1.1,1013.3,48,0,16.1,15.9,29.4,40.7,nan,nan,nan,12.08181818181818
8.1,9.4,1.1,1009.9,71,1.27,13.5,8.7,13,nan,nan,nan,nan,15.909090909090912
5.1,6.7,0,1016.5,42,0,16.1,16.3,31.7,50,nan,nan,nan,8.66875
2.5,6.7,0.6,1013.3,62,0,15.3,24.1,48.2,72.2,1,nan,nan,9.127272727272727
-1.8,6.1,-4.4,1035,40,0,16.1,23.7,38.9,63,nan,nan,nan,7.918181818181819
6.1,19.4,2.8,1028.8,66,0,14,15.4,20.6,nan,nan,nan,nan,9.3125
5.1,7.2,2.8,1026.2,84,0,11.1,11.7,22.2,nan,nan,nan,nan,11.490909090909092
6.9,10,3.9,1020.8,70,1.78,11.9,12.4,25.9,38.9,nan,nan,nan,12.309090909090907
3.7,6.1,-6.7,1008.3,67,4.57,15.1,23.5,33.5,48.2,1,nan,nan,6.862500000000002
-2.6,6.1,-6.1,1020.5,44,0,16.1,30.2,48.2,64.8,nan,nan,nan,6.309090909090909
-3.4,0.6,-6.1,1029.7,43,0,16.1,17.4,29.4,37,nan,nan,nan,7.227272727272727
5.2,11.1,0.6,1018.8,81,0,12.7,23.3,48.2,61.1,nan,nan,nan,5.952941176470588
5.9,11.1,3.3,1008.5,67,19.81,16.1,18.5,27.8,31.7,nan,nan,nan,6.090909090909091
4.7,7.8,3.3,1006.3,57,0,16.1,22.6,29.4,40.7,nan,nan,nan,7.081818181818183
2,6,0,1026.8,69,0,16.1,10,14.8,nan,nan,nan,nan,8.605882352941178
3.8,5.6,0.6,1015.2,85,0.25,11.7,8.5,13,nan,nan,nan,nan,12.172727272727276
3.9,6.1,1.7,1002.7,72,0.51,15.1,13.1,24.1,33.5,nan,nan,nan,9.845454545454542
6.7,13.3,1.7,1006.8,64,1.27,15.9,14.3,22.2,29.4,nan,nan,nan,9.583333333333334
3.2,3.3,2.8,995.5,93,14.22,5.3,15.4,22.2,nan,nan,nan,nan,5.509090909090909
1.3,4.4,-1.1,1014.7,46,4.06,16.1,27.6,42.4,59.4,nan,nan,nan,8.381818181818181
1.6,5,-1.1,1030.5,68,0,16.1,16.7,24.1,nan,nan,nan,nan,8.976470588235292
4.1,6.1,2,1011.1,84,13.21,9.8,11.5,24.1,37,nan,nan,nan,7.336363636363638
1.6,6.7,-3.3,1019.3,50,0,16.1,28.7,44.6,61.1,nan,nan,nan,6.363636363636362
-5.8,4.4,-9.4,1035.5,43,0,16.1,16.1,27.8,38.9,nan,nan,nan,6.1000000000000005
6.4,8.9,2.8,1020.7,53,0,13.4,20.9,35.2,50,nan,nan,nan,6.663636363636362
0.7,8.9,-1.7,1029.7,40,0,16.1,18.9,31.7,37,nan,nan,nan,5.0272727272727264
-2.1,2.2,-6.1,1031.2,36,0,16.1,19.1,31.7,40.7,nan,nan,nan,5.064705882352942
9.5,16.1,5,1012.3,67,0,14.5,10.7,16.5,nan,nan,nan,nan,9.618181818181816
7.1,8.9,6,1012,91,3.56,4.3,12.4,20.6,31.7,nan,nan,nan,5.163636363636363
6,9.4,1.7,1003.2,62,11.68,12.7,32.2,51.9,70.6,nan,nan,nan,3.411111111111111
0.1,6.7,-3.3,1018.9,42,0,16.1,25.4,37,44.6,nan,nan,nan,5.893750000000002
7.4,13.3,-3.3,1017,45,0,16.1,14.8,25.9,40.7,nan,nan,nan,11.84
11.8,15,3.3,1007.1,64,0.25,15,14.4,22.2,27.8,nan,nan,nan,10.85
4.8,8.3,2.2,1019,46,3.56,16.1,23.9,37,53.5,nan,nan,nan,3.905882352941177
7.1,15.6,2.2,1029.2,27,0,16.1,16.3,24.1,31.7,nan,nan,nan,5.3
14.2,22.2,2.8,1026.8,24,0,16.1,18.3,27.8,38.9,nan,nan,nan,10.27
11.7,21.1,5,1013.4,68,4.32,10.9,22.2,42.4,66.5,nan,nan,nan,4.755555555555556
10.5,21.1,6.1,1022.8,30,3.05,16.1,25.6,38.9,51.9,nan,nan,nan,3.92
8.4,12.8,5.6,1029.4,36,0,16.1,16.1,27.8,31.7,nan,nan,nan,3.7500000000000013
7.8,11.7,5.6,1025.6,72,25.4,12.1,17.2,29.4,nan,nan,nan,nan,3.94
12.6,25.6,5.6,1016.1,75,0.51,12.2,12,31.7,50,nan,nan,nan,8.11
12.3,25.6,6.1,1020.7,39,0,16.1,24.3,33.5,48.2,nan,nan,nan,3.5200000000000005
6.4,12.2,2.8,1019.4,68,0,16.1,24.6,35.2,48.2,nan,nan,nan,4.629999999999999
7.6,15,3.9,1016.1,56,0.25,16.1,14.4,25.9,nan,nan,nan,nan,6.19
13.3,20,3.9,1009.8,48,0,16.1,12.2,20.6,33.5,nan,nan,nan,6.08
7.1,10,5,1015.9,73,3.56,15.1,13.7,22.2,nan,nan,nan,nan,2.17
7.3,12.8,3.3,1010.2,54,1.78,16.1,18.1,29.4,44.6,nan,nan,nan,3.6599999999999993
9.3,14.4,3.3,1005.8,43,0,16.1,27.4,48.2,64.8,nan,nan,nan,2.3
9.9,14.4,4.4,1003.7,57,0,16.1,33.3,48.2,61.1,nan,nan,nan,1.96
14.4,18.9,8.9,1013,30,0,16.1,15.2,31.7,42.4,nan,nan,nan,4.67
12.9,16.7,9,1001.9,68,5.84,14,10.7,20.6,nan,nan,nan,nan,8.28
11.2,17.2,9.4,998.2,69,6.6,15.8,20.2,51.9,90.7,nan,1,nan,3.55
13.8,20.6,6.1,1013,82,15.49,9.8,28,51.9,77.8,nan,nan,nan,4.799999999999999
13.1,20.6,8.9,1014.2,42,28.19,16.1,23.2,38.9,55.4,nan,nan,nan,3.3300000000000005
9.2,15.6,6.1,1014.2,38,0,16.1,20.6,29.4,46.5,nan,nan,nan,3.99
10.1,17.2,5.6,1011.7,40,2.03,16.1,20.2,29.4,48.2,nan,nan,nan,6.369999999999999
12.2,17.2,5.6,1004.7,42,0,16.1,13.5,24.1,31.7,nan,nan,nan,3.58
11.1,15.6,7.8,1002.3,55,0,15.6,19.6,51.9,83.5,nan,1,nan,4.450000000000001
11.3,17.8,6.1,1015.2,60,5.08,15.9,7.4,22.2,33.5,nan,nan,nan,6.23
9.5,17.8,6.1,1014.6,68,0,12.6,23.5,48.2,61.1,nan,nan,nan,2.8
7.2,10,4.4,1011.4,73,1.78,15.1,23.2,29.4,46.5,nan,nan,nan,0.9999999999999998
14.6,18.9,9.4,1006.1,82,18.54,12.6,18,44.6,83.5,nan,nan,nan,2.0200000000000005
16.6,22.8,11.7,1011.6,42,3.56,16.1,19.6,29.4,40.7,nan,nan,nan,3.0699999999999994
19.7,27.2,11.7,1009,43,0.76,16.1,16.5,27.8,35.2,nan,nan,nan,6.611111111111112
12.6,19.4,8.3,1007.7,39,0.76,16.1,13.1,25.9,40.7,nan,nan,nan,3.055555555555556
11.7,19.4,7.8,1008.8,41,0,16.1,15,35.2,44.6,nan,nan,nan,2.966666666666667
5.7,14.4,2.2,1008.5,50,10.41,15,33.5,48.2,66.5,1,nan,nan,1.0750000000000002
11.3,17.8,6.1,1023.4,33,0,16.1,20,29.4,40.7,nan,nan,nan,3.6333333333333337
13.7,18.3,6.1,1024.8,44,0,16.1,12,27.8,40.7,nan,nan,nan,5.5555555555555545
21.3,30,8.9,1014.7,55,0.25,16.1,16.7,33.5,46.5,nan,nan,nan,10.111111111111109
15.8,20.6,12.8,1022.2,46,0,16.1,27.4,40.7,55.4,nan,nan,nan,2.911111111111111
13.9,20.6,11.1,1029.5,43,0,16.1,21.3,29.4,nan,nan,nan,nan,2.0
13.1,19.4,8.9,1029.2,55,0,16.1,12.4,25.9,nan,nan,nan,nan,4.963636363636363
15.8,20.6,11.1,1023.1,77,0.25,14.3,16.1,25.9,nan,nan,nan,nan,4.74
18.3,25,13.3,1022.3,76,0,11.7,10.4,20.6,nan,nan,nan,nan,4.2625
19.2,25.6,14.4,1022.9,76,0,11.9,12.8,25.9,nan,nan,nan,nan,1.4777777777777776
19.7,28.9,14.4,1015.6,36,0,16.1,24.6,37,50,nan,nan,nan,-0.2666666666666667
16.7,22.2,12.2,1021.5,35,0,16.1,20,27.8,44.6,nan,nan,nan,1.5000000000000002
20.2,24.4,12.2,1016.3,35,0,16.1,11.7,27.8,nan,nan,nan,nan,5.2700000000000005
22.6,27.8,17.2,1005.3,55,1.78,15.8,16.7,25.9,42.4,nan,1,nan,8.137500000000001
22.7,32.2,18.3,1010.5,37,2.54,16.1,20.6,31.7,44.6,nan,nan,nan,1.257142857142857
21.9,27.2,17.2,1015.5,37,0,16.1,11.3,18.3,nan,nan,nan,nan,3.04
25.9,32.8,17.2,1013.5,37,0,16.1,12.2,24.1,35.2,nan,nan,nan,8.0875
21.6,31.1,16.7,1019.9,39,0,16.1,15.9,24.1,38.9,nan,nan,nan,0.35
18.3,25,12.8,1026.7,41,0,16.1,16.1,24.1,nan,nan,nan,nan,1.9636363636363636
20,25,12.8,1028.8,48,0,16.1,14.4,27.8,nan,nan,nan,nan,3.466666666666667
23.6,30,18.3,1019.6,66,0,15.1,12.6,31.7,38.9,nan,nan,nan,3.5375
25.7,31.1,19.4,1017.6,60,0,16.1,12.2,27.8,29.4,nan,nan,nan,8.09
26.3,31.1,22.2,1015.8,59,0,16.1,10.6,22.2,29.4,nan,nan,nan,4.937499999999999
27.3,31.7,23.3,1012.7,35,0,16.1,15.2,33.5,38.9,nan,nan,nan,5.7875
26.6,32.2,22.8,1013.7,43,0,16.1,13.5,27.8,35.2,nan,nan,nan,6.281818181818181
26.9,32.2,22.8,1009.5,47,0,15.9,13.5,25.9,40.7,nan,nan,nan,10.725
23.5,28.3,20.6,1011.5,68,0,15.9,10,18.3,nan,nan,1,nan,4.2125
22.9,25.6,21.7,1010.7,69,0,16.1,9.1,27.8,nan,nan,nan,nan,6.58
28.9,35,20.6,1009.2,51,0,15.8,12,27.8,37,nan,1,nan,10.6
