AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
4.3,10,1.7,1023.1,94,0,8,13,22.2,nan,nan,nan,nan,40.08
8.8,14.4,1.7,1021.4,89,0,10.3,8.9,20.6,29.4,nan,nan,nan,42.4
14.3,17.2,5,1016.6,84,0.76,12.4,15.2,24.1,37,nan,nan,nan,31.25
5.8,9.4,-2.2,1023.8,70,0,15.6,17,38.9,50,nan,nan,nan,20.227272727272727
2.1,4,-1,1025.9,49,0,16.1,20.9,29.4,37,nan,nan,nan,17.1
6,10,-0.6,1019.5,62,0,16.1,14.6,25.9,31.3,nan,nan,nan,26.0
2.4,6.7,-3,1014.5,65,0.25,13.7,19.4,44.3,53.5,1,nan,nan,12.12
-6.7,4.4,-9.4,1026.7,50,0,16.1,40,51.9,66.5,nan,nan,nan,10.4
-6.1,-2,-8,1036.2,50,0,16.1,21.3,42.4,55.4,nan,nan,nan,11.890000000000002
-7.1,-1,-12,1013.1,45,0,16.1,16.1,24.1,nan,nan,nan,nan,10.59
-2.9,-1.1,-11.7,1007.2,63,4.06,9.3,16.5,37,nan,1,nan,nan,37.90000000000001
-6.7,-2.2,-10,1003.5,59,3.81,15.4,40.4,61.1,83.2,1,nan,nan,19.527272727272727
-1.2,3.3,-3.9,1005.8,79,5.33,8.9,26.7,44.3,51.9,1,nan,nan,13.2
-2.4,0,-4.4,1001.6,68,17.53,12.6,26.9,38.9,50,1,nan,nan,34.3
-6.8,0,-9.4,1014.1,55,0,16.1,33.5,42.4,57.2,nan,nan,nan,22.950000000000006
1.1,4.4,-6.1,1008.7,73,19.05,11.7,22.2,31.3,44.3,1,nan,nan,47.75
-0.3,4.4,-2.2,1010.3,56,0,16.1,22.2,27.8,42.4,nan,nan,nan,42.15
-2.4,2.2,-5,1013.7,47,0,16.1,30.9,44.3,64.8,nan,nan,nan,12.566666666666665
-2.8,1,-6,1016.7,44,nan,16.1,17,29.4,nan,1,nan,nan,17.35
2.4,6.1,-1.7,1018.3,47,0,16.1,25,37,46.5,nan,nan,nan,9.55
-2.4,6.1,-6.1,1030.2,40,0,16.1,16.5,35.2,42.4,nan,nan,nan,14.489999999999998
0.8,8,-3,1025.2,59,0,16.1,18.1,27.8,29.4,nan,nan,nan,17.8
-0.7,5,-4.4,1024.6,52,0,16.1,10.9,18.3,nan,nan,nan,nan,31.5
6.3,13,2,1008.3,88,11.43,8.2,16.3,40.7,51.9,nan,nan,nan,38.8
3.5,12.8,0.6,1013.9,52,3.56,16.1,28.3,40.7,53.5,nan,nan,nan,26.65
-0.1,1.7,-2.2,1013.9,90,17.78,11.9,17.8,44.3,55.4,1,nan,nan,6.5
1.5,4,-1,1020.4,68,0.25,15.1,18.3,29.4,40.7,1,nan,nan,13.12
2.8,6.1,-0.6,1027.7,51,0,16.1,18.1,25.9,38.9,nan,nan,nan,9.5
8.4,18.3,4.4,1023.8,81,3.05,11.9,16.3,33.5,40.7,nan,nan,nan,6.35
4.5,6,3,1030.6,91,1.78,11.7,19.4,25.9,35.2,nan,nan,1,16.181818181818183
5.6,9,4,1025.3,95,nan,3.5,10.7,20.6,nan,nan,nan,1,35.95
6.6,11.7,2.2,1017.8,44,6.1,16.1,12.6,22.2,29.4,nan,nan,nan,7.9
6.8,8.9,2.8,1007.0,53,0.25,16.1,22,46.5,74.1,nan,nan,nan,8.95
3.8,8.3,1.7,1007.8,50,0.76,16.1,36.5,48.2,57.2,nan,nan,nan,10.454545454545453
10.2,18.3,3.9,1021.5,32,0,15.8,14.8,24.1,33.5,nan,nan,nan,8.55
10.9,18.3,3.9,1014.6,59,0.25,14.3,13,24.1,38.9,nan,1,nan,7.6
10.3,23.9,5,1009.3,74,0,8,13.7,20.6,35.2,nan,nan,1,10.65
3.7,9.4,0.6,1021.0,46,0.76,16.1,24.6,40.7,50,nan,nan,nan,29.8
6.8,11.1,0.6,1025.9,52,0,15.9,16.3,33.5,37,nan,nan,nan,16.5
9.6,16.1,2.8,1023.5,53,0,15.4,15.6,27.8,37,nan,nan,nan,22.47142857142857
1.6,5,-5,1035.6,56,0,16.1,14.1,20.6,27.8,nan,nan,nan,12.7
3.9,8.3,-0.6,1031.5,66,0,16.1,18.7,31.3,nan,nan,nan,nan,14.3
4.7,8.3,1.1,1030.5,81,0.76,12.4,29.1,38.9,48.2,nan,nan,nan,9.009090909090908
12.7,19.4,7.2,1016.0,51,0,15.4,14.1,25.9,nan,nan,nan,nan,11.45
13.7,17.2,10,1005.2,49,1.78,13.5,19.1,35.2,48.2,nan,1,nan,7.300000000000002
11.1,15,6,1005.3,44,0,16.1,17.6,31.3,42.4,nan,nan,nan,14.236363636363635
8.8,14.4,5,1016.5,46,0,16.1,17,27.8,35.2,nan,nan,nan,9.55
10.2,17.2,5,1022.0,43,0,16.1,13.3,35.2,nan,nan,nan,nan,12.55
13,18.9,6.1,1018.4,55,0,16.1,15.7,22.2,31.3,nan,nan,nan,12.045454545454545
15.5,18.9,10,1012.8,78,0,10.8,15.2,29.4,40.7,nan,nan,nan,9.55
14.4,21.7,5.6,1012.1,41,0,16.1,18.3,42.4,53.5,nan,nan,nan,10.5
14.1,19.4,10,1005.8,68,0,13.7,26.1,55.4,68.3,nan,nan,nan,9.400000000000002
6.4,14,0,999.5,68,3.3,10.5,31.5,50,64.8,1,nan,nan,7.4
6.2,9,3,1032.6,38,0,16.1,18.3,35.2,50,nan,nan,nan,4.699999999999998
7.9,11.7,3.3,1030.0,45,0,16.1,14.8,25.9,31.3,nan,nan,nan,7.33125
9.9,12.8,5,1023.1,80,0.76,9.7,10.4,20.6,nan,nan,nan,nan,6.35
8.9,15,4.4,1016.5,80,2.03,13.7,22.4,37,46.5,nan,nan,nan,20.35
11.9,16.1,6.1,1017.6,71,0,15.4,13.5,24.1,nan,nan,nan,nan,7.093333333333334
