,AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
0,4.3,10.0,1.7,1023.1,94.0,0.0,8.0,13.0,22.2,44.2945648182152,0.0,0.0,0.0,40.08
1,8.8,14.4,1.7,1021.4,89.0,0.0,10.3,8.9,20.6,29.4,0.0,0.0,0.0,42.4
2,14.3,17.2,5.0,1016.6,84.0,0.76,12.4,15.2,24.1,37.0,0.0,0.0,0.0,31.25
3,5.8,9.4,-2.2,1023.8,70.0,0.0,15.6,17.0,38.9,50.0,0.0,0.0,0.0,20.227272727272727
4,2.1,4.0,-1.0,1025.9,49.0,0.0,16.1,20.9,29.4,37.0,0.0,0.0,0.0,17.1
5,6.0,10.0,-0.6,1019.5,62.0,0.0,16.1,14.6,25.9,31.3,0.0,0.0,0.0,26.0
6,2.4,6.7,-3.0,1014.5,65.0,0.25,13.7,19.4,44.3,53.5,1.0,0.0,0.0,12.12
7,-6.7,4.4,-9.4,1026.7,50.0,0.0,16.1,40.0,51.9,66.5,0.0,0.0,0.0,10.4
8,-6.1,-2.0,-8.0,1036.2,50.0,0.0,16.1,21.3,42.4,55.4,0.0,0.0,0.0,11.890000000000002
9,-7.1,-1.0,-12.0,1013.1,45.0,0.0,16.1,16.1,24.1,44.2945648182152,0.0,0.0,0.0,10.59
10,-2.9,-1.1,-11.7,1007.2,63.0,4.06,9.3,16.5,37.0,44.2945648182152,1.0,0.0,0.0,37.90000000000001
11,-6.7,-2.2,-10.0,1003.5,59.0,3.81,15.4,40.4,61.1,83.2,1.0,0.0,0.0,19.527272727272727
12,-1.2,3.3,-3.9,1005.8,79.0,5.33,8.9,26.7,44.3,51.9,1.0,0.0,0.0,13.2
13,-2.4,0.0,-4.4,1001.6,68.0,17.53,12.6,26.9,38.9,50.0,1.0,0.0,0.0,34.3
14,-6.8,0.0,-9.4,1014.1,55.0,0.0,16.1,33.5,42.4,57.2,0.0,0.0,0.0,22.95000000000001
15,1.1,4.4,-6.1,1008.7,73.0,19.05,11.7,22.2,31.3,44.3,1.0,0.0,0.0,47.75
16,-0.3,4.4,-2.2,1010.3,56.0,0.0,16.1,22.2,27.8,42.4,0.0,0.0,0.0,42.15
17,-2.4,2.2,-5.0,1013.7,47.0,0.0,16.1,30.9,44.3,64.8,0.0,0.0,0.0,12.566666666666665
18,-2.8,1.0,-6.0,1016.7,44.0,0.0,16.1,17.0,29.4,44.2945648182152,1.0,0.0,0.0,17.35
19,2.4,6.1,-1.7,1018.3,47.0,0.0,16.1,25.0,37.0,46.5,0.0,0.0,0.0,9.55
20,-2.4,6.1,-6.1,1030.2,40.0,0.0,16.1,16.5,35.2,42.4,0.0,0.0,0.0,14.489999999999998
21,0.8,8.0,-3.0,1025.2,59.0,0.0,16.1,18.1,27.8,29.4,0.0,0.0,0.0,17.8
22,-0.7,5.0,-4.4,1024.6,52.0,0.0,16.1,10.9,18.3,44.2945648182152,0.0,0.0,0.0,31.5
23,6.3,13.0,2.0,1008.3,88.0,11.43,8.2,16.3,40.7,51.9,0.0,0.0,0.0,38.8
24,3.5,12.8,0.6,1013.9,52.0,3.56,16.1,28.3,40.7,53.5,0.0,0.0,0.0,26.65
25,-0.1,1.7,-2.2,1013.9,90.0,17.78,11.9,17.8,44.3,55.4,1.0,0.0,0.0,6.5
26,1.5,4.0,-1.0,1020.4,68.0,0.25,15.1,18.3,29.4,40.7,1.0,0.0,0.0,13.12
27,2.8,6.1,-0.6,1027.7,51.0,0.0,16.1,18.1,25.9,38.9,0.0,0.0,0.0,9.5
28,8.4,18.3,4.4,1023.8,81.0,3.05,11.9,16.3,33.5,40.7,0.0,0.0,0.0,6.35
29,4.5,6.0,3.0,1030.6,91.0,1.78,11.7,19.4,25.9,35.2,0.0,0.0,1.0,16.181818181818183
30,5.6,9.0,4.0,1025.3,95.0,0.0,3.5,10.7,20.6,44.2945648182152,0.0,0.0,1.0,35.95
31,6.6,11.7,2.2,1017.8,44.0,6.1,16.1,12.6,22.2,29.4,0.0,0.0,0.0,7.9
32,6.8,8.9,2.8,1007.0,53.0,0.25,16.1,22.0,46.5,74.1,0.0,0.0,0.0,8.95
33,3.8,8.3,1.7,1007.8,50.0,0.76,16.1,36.5,48.2,57.2,0.0,0.0,0.0,10.454545454545453
34,10.2,18.3,3.9,1021.5,32.0,0.0,15.8,14.8,24.1,33.5,0.0,0.0,0.0,8.55
35,10.9,18.3,3.9,1014.6,59.0,0.25,14.3,13.0,24.1,38.9,0.0,1.0,0.0,7.6
36,10.3,23.9,5.0,1009.3,74.0,0.0,8.0,13.7,20.6,35.2,0.0,0.0,1.0,10.65
37,3.7,9.4,0.6,1021.0,46.0,0.76,16.1,24.6,40.7,50.0,0.0,0.0,0.0,29.8
38,6.8,11.1,0.6,1025.9,52.0,0.0,15.9,16.3,33.5,37.0,0.0,0.0,0.0,16.5
39,9.6,16.1,2.8,1023.5,53.0,0.0,15.4,15.6,27.8,37.0,0.0,0.0,0.0,22.47142857142857
40,1.6,5.0,-5.0,1035.6,56.0,0.0,16.1,14.1,20.6,27.8,0.0,0.0,0.0,12.7
41,3.9,8.3,-0.6,1031.5,66.0,0.0,16.1,18.7,31.3,44.2945648182152,0.0,0.0,0.0,14.3
42,4.7,8.3,1.1,1030.5,81.0,0.76,12.4,29.1,38.9,48.2,0.0,0.0,0.0,9.009090909090908
43,12.7,19.4,7.2,1016.0,51.0,0.0,15.4,14.1,25.9,44.2945648182152,0.0,0.0,0.0,11.45
44,13.7,17.2,10.0,1005.2,49.0,1.78,13.5,19.1,35.2,48.2,0.0,1.0,0.0,7.3000000000000025
45,11.1,15.0,6.0,1005.3,44.0,0.0,16.1,17.6,31.3,42.4,0.0,0.0,0.0,14.236363636363635
46,8.8,14.4,5.0,1016.5,46.0,0.0,16.1,17.0,27.8,35.2,0.0,0.0,0.0,9.55
47,10.2,17.2,5.0,1022.0,43.0,0.0,16.1,13.3,35.2,44.2945648182152,0.0,0.0,0.0,12.55
48,13.0,18.9,6.1,1018.4,55.0,0.0,16.1,15.7,22.2,31.3,0.0,0.0,0.0,12.045454545454545
49,15.5,18.9,10.0,1012.8,78.0,0.0,10.8,15.2,29.4,40.7,0.0,0.0,0.0,9.55
50,14.4,21.7,5.6,1012.1,41.0,0.0,16.1,18.3,42.4,53.5,0.0,0.0,0.0,10.5
51,14.1,19.4,10.0,1005.8,68.0,0.0,13.7,26.1,55.4,68.3,0.0,0.0,0.0,9.400000000000002
52,6.4,14.0,0.0,999.5,68.0,3.3,10.5,31.5,50.0,64.8,1.0,0.0,0.0,7.4
53,6.2,9.0,3.0,1032.6,38.0,0.0,16.1,18.3,35.2,50.0,0.0,0.0,0.0,4.699999999999998
54,7.9,11.7,3.3,1030.0,45.0,0.0,16.1,14.8,25.9,31.3,0.0,0.0,0.0,7.33125
55,9.9,12.8,5.0,1023.1,80.0,0.76,9.7,10.4,20.6,44.2945648182152,0.0,0.0,0.0,6.35
56,8.9,15.0,4.4,1016.5,80.0,2.03,13.7,22.4,37.0,46.5,0.0,0.0,0.0,20.35
57,11.9,16.1,6.1,1017.6,71.0,0.0,15.4,13.5,24.1,44.2945648182152,0.0,0.0,0.0,7.093333333333334
58,9.1,11.0,7.0,1011.8,87.0,0.25,9.2,24.8,57.2,68.3,0.0,1.0,0.0,9.7
59,11.4,19.4,7.8,1013.1,54.0,0.0,16.1,19.3,31.3,44.2945648182152,0.0,0.0,0.0,22.8
60,7.7,13.3,5.6,1015.6,60.0,0.0,15.9,23.7,33.5,40.7,0.0,0.0,0.0,28.866666666666664
61,6.6,10.0,4.0,1017.3,74.0,1.27,15.9,13.3,22.2,44.2945648182152,0.0,0.0,0.0,28.5
62,13.0,17.2,8.9,1018.4,31.0,0.0,16.1,19.6,38.9,48.2,0.0,0.0,0.0,7.35
63,15.0,18.9,8.9,1010.8,65.0,1.78,13.7,17.8,33.5,44.3,0.0,0.0,0.0,9.69375
64,14.5,18.9,10.0,1024.5,47.0,0.0,15.9,14.4,24.1,29.4,0.0,0.0,0.0,15.25
65,23.8,33.9,13.9,1013.6,51.0,0.0,11.4,12.6,29.4,42.4,0.0,0.0,0.0,18.5
66,25.6,33.9,13.9,1010.3,57.0,3.3,12.6,13.1,38.9,70.2,0.0,1.0,0.0,20.426666666666673
67,28.3,33.3,18.9,1005.1,49.0,0.0,12.7,21.1,31.3,50.0,0.0,0.0,0.0,10.55
68,14.2,17.0,12.0,1008.3,88.0,2.54,13.8,18.0,31.3,44.2945648182152,0.0,1.0,1.0,21.200000000000006
69,17.2,23.3,12.2,1011.9,57.0,12.19,13.7,18.0,25.9,38.9,1.0,1.0,0.0,12.85625
70,16.2,23.3,12.2,1017.5,36.0,0.0,16.1,15.0,27.8,35.2,0.0,0.0,0.0,13.05
71,15.2,25.6,8.9,1016.1,91.0,29.46,9.0,20.2,42.4,50.0,0.0,1.0,0.0,5.199999999999998
72,8.9,17.2,7.8,1020.0,91.0,12.19,12.6,18.5,33.5,44.2945648182152,0.0,0.0,0.0,8.799999999999997
73,11.4,13.0,10.0,1018.0,92.0,11.43,10.1,10.6,14.8,44.2945648182152,0.0,0.0,0.0,13.6
74,20.1,27.2,12.8,1000.2,64.0,3.05,14.5,18.0,31.3,44.3,0.0,1.0,0.0,8.25
75,19.7,24.4,15.6,1008.7,51.0,0.0,16.1,18.7,35.2,40.7,0.0,0.0,0.0,8.557142857142857
76,18.2,24.4,15.0,1013.7,58.0,0.0,16.1,16.9,24.1,44.2945648182152,0.0,0.0,0.0,5.6
77,14.3,19.0,11.0,1023.2,70.0,0.0,15.1,12.0,20.6,29.4,0.0,0.0,0.0,42.35
78,20.2,30.6,11.1,1017.0,67.0,0.0,12.1,13.0,20.6,44.2945648182152,0.0,0.0,0.0,41.514285714285705
79,26.0,33.3,14.4,1013.1,52.0,0.0,13.2,13.7,46.5,70.2,0.0,1.0,0.0,18.8
80,20.9,33.3,16.7,1014.8,56.0,0.25,15.3,21.9,40.7,48.2,0.0,1.0,0.0,11.5
81,14.2,22.8,10.0,1014.0,72.0,64.52,13.2,20.9,29.4,48.2,0.0,0.0,0.0,20.4625
82,21.1,28.9,10.0,1018.7,54.0,0.0,15.6,11.5,24.1,35.2,0.0,0.0,0.0,12.55
83,25.8,32.2,15.6,1015.1,50.0,0.0,15.3,20.6,31.3,42.4,0.0,0.0,0.0,11.25
84,14.3,23.3,12.8,1021.9,87.0,10.92,10.6,17.6,22.2,35.2,0.0,0.0,0.0,12.766666666666667
85,13.9,17.2,11.7,1022.4,82.0,0.76,14.6,15.0,20.6,27.8,0.0,0.0,0.0,18.25
86,16.1,23.9,11.7,1017.0,91.0,0.25,7.7,12.0,16.5,44.2945648182152,0.0,0.0,0.0,20.6
87,19.3,23.3,17.8,1018.8,73.0,2.03,13.2,11.7,16.5,44.2945648182152,0.0,0.0,0.0,14.512500000000005
88,22.6,28.0,19.0,1019.9,55.0,0.0,16.1,11.1,20.6,37.0,0.0,0.0,0.0,13.1
89,23.6,27.8,18.3,1016.2,65.0,0.0,15.6,20.0,38.9,50.0,0.0,0.0,0.0,13.1
90,25.1,30.0,19.4,1016.5,79.0,0.0,11.3,20.7,37.0,42.4,0.0,0.0,0.0,12.664285714285715
